theta,phi,rms
1.318116071652818,5.031456984264903,5.255119435373405e-08
0.9220766484543186,2.405281875404685,1.235336169186462e-07
0.6223684885550206,5.988660995905543,4.2041365129879234e-08
0.9479697413828938,4.83510744341554,6.426856976894951e-08
1.339574847337548,1.7671458676442584,7.074653747173969e-08
1.3609257345321588,4.83510744341554,8.935849588477685e-08
2.023612921539822,3.436116964863836,9.660359442670005e-08
1.5499614861262483,1.2271846303085128,1.7682121197421321e-07
1.3609257345321588,0.02454369260617026,8.981879896440102e-08
1.5707963267948966,4.442408361716817,1.1416150316648447e-08
1.0946772658831003,5.522330836388308,9.052603289825072e-08
1.3821799406194926,5.301437602932776,1.09978549993134e-07
2.1682027434402467,5.301437602932776,1.1726218168428208e-07
1.0946772658831003,5.8659425328746915,1.3352594885081016e-07
1.9328191517003688,4.76147636559703,6.689964725366073e-08
0.7305737448965524,3.7306412761378795,1.5678681728805604e-07
1.5082555649984053,1.5707963267948966,1.1771208800739931e-07
1.6542264134055116,1.88986433067511,1.3516067533838727e-07
1.633337088591388,5.105088062083414,9.838660616562912e-08
0.9733899101495465,5.301437602932776,1.5455869675905318e-07
1.141020895490369,5.5714182216006485,1.0389732692944735e-07
2.383628402895997,4.306148551041182,3.8419939674739206e-08
1.022969475827947,5.399612373357457,8.355365872394204e-08
1.8886200307227774,4.368777283898305,6.519116714205056e-08
1.339574847337548,5.448699758569797,1.1865025316749645e-07
2.300523983021863,4.196971435655113,1.5313574737539988e-07
1.5499614861262483,3.436116964863836,2.051274009762104e-08
1.3609257345321588,5.473243451175968,1e-08
1.1863995522992576,5.5714182216006485,5.194803354915023e-08
2.023612921539822,5.595961914206819,7.30146379935435e-08
2.7304547912674453,4.368777283898306,1.1669245652859005e-07
1.2309594173407747,5.4241560659636265,9.956611721557123e-08
0.8410686705679303,4.344233591292136,1.3434209092956258e-07
2.300523983021863,4.098796665230433,8.259603029039867e-08
2.118623177761846,5.203262832508095,8.353091319171598e-08
0.7305737448965524,4.908738521234051,4.768428199844272e-08
1.9551931012905357,5.227806525114265,1.477107120234861e-07
1.1638212011661395,2.1598449493429825,1.1273192280969548e-07
2.0943951023931957,5.620505606812988,1.5830351467848538e-07
1.2965377133062665,0.8344855486097889,1.315682050315045e-07
0.9983777547020765,4.736932672990859,8.132176483154308e-08
1.2309594173407747,5.767767762450011,9.854419961324526e-08
2.7304547912674453,0.9326603190344698,1.5636604138587592e-07
1.4033482475752073,4.295146206079794,1.5962415868727167e-07
0.9983777547020765,4.246058820867455,2.8597479697473192e-08
2.1432148988877167,4.638757902566178,8.720720835873498e-08
1.0946772658831003,5.129631754689584,9.821441543296679e-08
1.0946772658831003,4.83510744341554,1.4365796907058592e-07
1.2748275234359654,4.442408361716817,2.215628637318425e-08
2.704354237123655,4.111790384845465,1.2486267675060392e-07
1.4244410678500967,4.908738521234051,5.6751810685925596e-08
0.8686820511897307,4.957825906446392,3.862975043551614e-08
0.7855049749216982,1.1780972450961724,1.271003186764256e-07
1.8020178062522454,4.71238898038469,9.445988200662044e-08
1.4033482475752073,4.6878452877785195,1.3281345276829447e-07
1.1863995522992576,4.589670517353839,1.1278814454032325e-07
1.5291175943723188,4.000621894805752,7.350957816819736e-08
1.8234765819369754,5.522330836388308,1.1099943822454154e-07
1.5707963267948966,4.000621894805752,8.295629201798724e-08
0.7855049749216982,5.576326960121883,1.8263588885137602e-07
1.3609257345321588,0.07363107781851078,6.307556951013791e-08
1.141020895490369,4.83510744341554,1.2306353195929654e-07
0.33324153223126673,2.1145335168392836,3.264878227790576e-08
0.17884689155751526,1.4585965891666899,8.090755448628105e-08
2.5192241650347724,5.530512067257032,1.3415147637064055e-07
1.1179797320499711,0.39269908169872414,1.2346044705240387e-07
0.8686820511897307,1.9144080232812801,1.7949736376425586e-07
0.6492301271470778,4.618141200776996,1.4895419019966517e-07
2.8083511213585264,4.8936347103994855,9.6922435956415e-08
1.8234765819369754,4.83510744341554,1.1764203450430597e-07
1.6124750592174746,4.589670517353839,1.5864407654594954e-07
0.895664793857865,5.325981295538946,9.44906584426904e-08
1.4873662401842815,4.736932672990859,1.5639832871373627e-07
2.070501367554261,4.025165587411921,1.0259100077538327e-07
2.2459278597319283,2.5770877236478773,1.1573174804644976e-07
1.4033482475752073,1.88986433067511,1.1204656432488431e-07
0.4372384164661384,5.497787143782138,2.0807162145529764e-08
1.2087735018894246,5.546874528994477,1.135267863630332e-07
0.7033259694838112,2.239839206726056,6.024876220408389e-08
1.2309594173407747,5.375068680751287,1.1803139222564136e-07
1.6124750592174746,4.6878452877785195,8.947369032319625e-08
2.356087678668095,4.790928796724434,3.2806451786375427e-08
0.6762137347716626,0.2718685950221936,1.2379811073970663e-07
2.118623177761846,4.025165587411921,1.6564046383251012e-08
1.6751522993833503,2.8961557275280905,1.0682063615904213e-07
2.572607001637307,5.961886058516995,7.017581166098577e-08
0.8410686705679303,5.227806525114265,8.629089183172476e-08
1.1179797320499711,4.614214209960009,3.035241133194893e-08
2.411018908693241,3.674541407323776,1.3545872543419097e-07
2.070501367554261,4.957825906446392,1.3445239305040967e-07
0.9733899101495465,3.1906800388021335,8.237923606129219e-08
2.0943951023931957,4.196971435655113,1.9787564818427558e-08
1.6542264134055116,3.4606606574700063,8.087220980593418e-08
0.3851081447625733,6.021385919380437,1.0827861878807843e-07
1.7171515857396964,0.9326603190344698,4.7954331435182245e-08
0.7033259694838112,3.5197473248552313,1.6058442063241562e-07
0.895664793857865,3.706097583531709,7.056884231649537e-08
0.6492301271470778,3.9898226700590373,1.0068798737574812e-07
0.7855049749216982,5.366887449882563,1.8613365342870342e-07
2.1682027434402467,5.006913291658732,6.93731871896554e-08
